city_id,city,country,date,latitude,longitude,temperature,max temperature,humidity,cloudiness,wind speed
0,Vaini,TO,1610067889,-21.2,-175.2,86.0,86.0,79,40,10.36
1,Ribeira Grande,PT,1610067890,38.5167,-28.7,57.42,57.42,66,7,20.74
2,Busselton,AU,1610067891,-33.65,115.3333,88.0,88.0,30,0,5.99
3,Butaritari,KI,1610067893,3.0707,172.7902,81.5,81.5,81,100,19.98
4,Mitsamiouli,KM,1610067894,-11.3847,43.2844,81.0,81.0,81,16,12.3
5,Albany,US,1610067806,42.6001,-73.9662,26.01,27.0,74,8,8.01
6,Hithadhoo,MV,1610067896,-0.6,73.0833,82.96,82.96,80,100,16.82
7,Bluff,NZ,1610067897,-46.6,168.3333,60.01,60.01,72,94,11.01
8,Ushuaia,AR,1610067693,-54.8,-68.3,51.8,51.8,66,75,29.93
9,Ishigaki,JP,1610067608,24.3448,124.1572,51.8,51.8,87,75,19.57
10,Mayumba,GA,1610067901,-3.432,10.6554,76.53,76.53,89,100,2.66
11,Richards Bay,ZA,1610067904,-28.783,32.0377,70.95,70.95,79,52,4.41
12,Örnsköldsvik,SE,1610067905,63.2909,18.7153,21.2,21.2,100,90,4.61
13,Marabu,MY,1610067616,4.4148,114.0089,77.0,77.0,94,40,2.3
14,Marabá,BR,1610067851,-5.3686,-49.1178,74.62,74.62,89,73,0.92
15,Punta Arenas,CL,1610067655,-53.15,-70.9167,50.0,50.0,81,75,11.5
16,Cam Ranh,VN,1610067910,11.9214,109.1591,78.8,78.8,78,20,19.57
17,Yellowknife,CA,1610067687,62.456,-114.3525,0.18,1.0,85,75,3.44
18,Kendari,ID,1610067912,-3.945,122.4989,80.83,80.83,82,100,3.13
19,Lakes Entrance,AU,1610067915,-37.8811,147.981,71.91,73.99,64,0,5.99
20,Cabo San Lucas,MX,1610067713,22.8909,-109.9124,74.46,75.2,43,1,8.05
21,Shimoda,JP,1610067917,34.6667,138.95,37.51,39.2,56,20,18.41
22,Port Alfred,ZA,1610067918,-33.5906,26.891,69.6,69.6,83,17,4.16
23,Hermanus,ZA,1610067921,-34.4187,19.2345,68.0,68.0,76,21,9.37
24,Gao,ML,1610067922,16.6362,1.637,75.16,75.16,18,0,12.57
25,Alta Gracia,AR,1610067923,-31.6529,-64.4283,72.34,81.0,68,20,6.91
26,Khatanga,RU,1610067924,71.9667,102.5,-0.02,-0.02,93,100,15.66
27,Arraial do Cabo,BR,1610067928,-22.9661,-42.0278,77.0,77.0,91,0,5.75
28,Qaqortoq,GL,1610067929,60.7167,-46.0333,35.6,35.6,93,90,5.75
29,Massaguet,TD,1610067930,12.4755,15.4365,73.4,73.4,23,27,6.91
30,Port Elizabeth,ZA,1610067932,-33.918,25.5701,69.8,69.8,88,40,18.41
31,Jamestown,US,1610067823,42.097,-79.2353,24.93,26.01,93,90,9.22
32,Chui,UY,1610067934,-33.6971,-53.4616,66.74,66.74,87,0,3.33
33,Lüderitz,NA,1610067935,-26.6481,15.1594,67.28,67.28,61,0,15.08
34,Port Lincoln,AU,1610067936,-34.7333,135.8667,71.2,71.2,63,0,9.89
35,Murdochville,CA,1610067938,48.9583,-65.5006,28.4,28.4,74,83,25.32
36,Kruisfontein,ZA,1610067939,-34.0033,24.7314,68.0,68.0,91,86,18.72
37,Flinders,AU,1610067940,-34.5833,150.8552,67.95,70.0,56,75,11.5
38,Inírida,CO,1610067941,3.8653,-67.9239,74.77,74.77,96,100,2.51
39,Cayenne,GF,1610067944,4.9333,-52.3333,73.4,73.4,100,75,2.3
40,Qaanaaq,GL,1610067946,77.484,-69.3632,-13.38,-13.38,72,100,8.97
41,Hasaki,JP,1610067948,35.7333,140.8333,37.83,39.0,41,20,13.8
42,Rikitea,PF,1610067949,-23.1203,-134.9692,78.66,78.66,68,88,3.83
43,Upernavik,GL,1610067950,72.7868,-56.1549,-5.04,-5.04,93,94,6.31
44,Hamilton,US,1610067918,39.1834,-84.5333,34.83,36.0,60,75,17.27
45,Fortuna,US,1610067952,40.5982,-124.1573,53.69,55.0,62,1,10.36
46,Saldanha,ZA,1610067954,-33.0117,17.9442,60.8,60.8,82,0,8.05
47,Charlestown,AU,1610067955,-32.95,151.6667,70.92,75.2,46,40,21.85
48,Cherskiy,RU,1610067956,68.75,161.3,-14.75,-14.75,89,99,1.03
49,Rønne,DK,1610067957,55.1009,14.7066,33.8,33.8,100,90,2.3
50,Poum,NC,1610067958,-20.2333,164.0167,82.94,82.94,78,2,10.51
51,Cape Town,ZA,1610067960,-33.9258,18.4232,66.6,66.99,77,0,16.11
